"id","fdc_id","name","pct_weight","is_refuse","gram_weight","data_points","min_year_acquired"
"57404","331050","Bone and cartilage","","Y","30.7","1",""
"57405","331050","Separable Lean","","N","63.1","1",""
"57406","331050","Handling loss","","N","0.9","1",""
"57407","331051","Total gram weight","","N","85.7","1",""
"57408","331051","Edible portion","","N","53.9","1",""
"57409","331051","Bone and cartilage","","Y","25","1",""
"57410","331051","Separable Lean","","N","53.9","1",""
"57411","331051","Handling loss","","N","2.7","1",""
"57412","331051","Skin and separable fat","","Y","4.1","1",""
"57413","331052","Total gram weight","","N","119","1",""
"57414","331052","Edible portion","","N","70.2","1",""
"57415","331052","Bone and cartilage","","Y","38.3","1",""
"57416","331052","Separable Lean","","N","70.2","1",""
"57417","331052","Handling loss","","N","1.2","1",""
"57418","331052","Skin and separable fat","","Y","9","1",""
"57419","331053","Skin and separable fat","","Y","5.5","1",""
"57420","331053","Total gram weight","","N","60.7","1",""
"57421","331053","Edible portion","","N","36.2","1",""
"57422","331053","Bone and cartilage","","Y","18.4","1",""
"57423","331053","Separable Lean","","N","36.2","1",""
"57424","331053","Handling loss","","N","0.6","1",""
"57425","331054","Total gram weight","","N","96.4","1",""
"57426","331054","Edible portion","","N","54.8","1",""
"57427","331054","Bone and cartilage","","Y","32.7","1",""
"57428","331054","Separable Lean","","N","54.8","1",""
"57429","331054","Handling loss","","N","1.6","1",""
"57430","331054","Skin and separable fat","","Y","7.3","1",""
"57431","331055","Skin and separable fat","","Y","11","1",""
"57432","331055","Total gram weight","","N","115","1",""
"57433","331055","Edible portion","","N","71.9","1",""
"57434","331055","Bone and cartilage","","Y","31","1",""
"57435","331055","Separable Lean","","N","71.9","1",""
"57436","331055","Handling loss","","N","1.2","1",""
"57437","331056","Total gram weight","","N","105","1",""
"57438","331056","Edible portion","","N","61.3","1",""
"57439","331056","Bone and cartilage","","Y","33","1",""
"57440","331056","Separable Lean","","N","61.3","1",""
"57441","331056","Handling loss","","N","0.9","1",""
"57442","331056","Skin and separable fat","","Y","9.6","1",""
"57443","331057","Bone and cartilage","","Y","37.3","1",""
"57444","331057","Total gram weight","","N","99.1","1",""
"57445","331057","Separable Lean","","N","53.9","1",""
"57446","331057","Handling loss","","N","2","1",""
"57447","331057","Edible portion","","N","53.9","1",""
"57448","331057","Skin and separable fat","","Y","5.9","1",""
"57449","331058","Skin and separable fat","","Y","6.6","1",""
"57450","331058","Total gram weight","","N","97","1",""
"57451","331058","Edible portion","","N","55.3","1",""
"57452","331058","Bone and cartilage","","Y","33.3","1",""
"57453","331058","Separable Lean","","N","55.3","1",""
"57454","331058","Handling loss","","N","1.8","1",""
"57455","331059","Total gram weight","","N","85.9","1",""
"57456","331059","Bone and cartilage","","Y","33.5","1",""
"57457","331059","Separable Lean","","N","46.6","1",""
"57458","331059","Handling loss","","N","1.5","1",""
"57459","331059","Edible portion","","N","46.6","1",""
"57460","331059","Skin and separable fat","","Y","4.3","1",""
"57461","331060","Total gram weight","","N","126","1",""
"57462","331060","Edible portion","","N","66.9","1",""
"57463","331060","Bone and cartilage","","Y","46.2","1",""
"57464","331060","Separable Lean","","N","66.9","1",""
"57465","331060","Handling loss","","N","2.6","1",""
"57466","331060","Skin and separable fat","","Y","10","1",""
"57467","331061","Total gram weight","","N","101","1",""
"57468","331061","Edible portion","","N","62.9","1",""
"57469","331061","Bone and cartilage","","Y","31.6","1",""
"57470","331061","Separable Lean","","N","62.9","1",""
"57471","331061","Handling loss","","N","0","1",""
"57472","331061","Skin and separable fat","","Y","6.6","1",""
"57473","331062","Total gram weight","","N","82.8","1",""
"57474","331062","Edible portion","","N","51.9","1",""
"57475","331062","Bone and cartilage","","Y","22.8","1",""
"57476","331062","Separable Lean","","N","51.9","1",""
"57477","331062","Handling loss","","N","1.6","1",""
"57478","331062","Skin and separable fat","","Y","6.5","1",""
"57479","331063","Total gram weight","","N","87.6","1",""
"57480","331063","Edible portion","","N","52.9","1",""
"57481","331063","Bone and cartilage","","Y","26.9","1",""
"57482","331063","Separable Lean","","N","52.9","1",""
"57483","331063","Handling loss","","N","1","1",""
"57484","331063","Skin and separable fat","","Y","6.8","1",""
"57485","331064","Skin and separable fat","","Y","4.8","1",""
"57486","331064","Total gram weight","","N","82.9","1",""
"57487","331064","Edible portion","","N","46.7","1",""
"57488","331064","Bone and cartilage","","Y","30.7","1",""
"57489","331064","Separable Lean","","N","46.7","1",""
"57490","331064","Handling loss","","N","0.7","1",""
"57491","331065","Total gram weight","","N","153","1",""
"57492","331065","Edible portion","","N","87.8","1",""
"57493","331065","Bone and cartilage","","Y","49.6","1",""
"57494","331065","Separable Lean","","N","87.8","1",""
"57495","331065","Handling loss","","N","2","1",""
"57496","331065","Skin and separable fat","","Y","14","1",""
"57497","331066","Total gram weight","","N","107","1",""
"57498","331066","Edible portion","","N","67.2","1",""
"57499","331066","Bone and cartilage","","Y","32.1","1",""
"57500","331066","Separable Lean","","N","67.2","1",""
"57501","331066","Handling loss","","N","1.8","1",""
"57502","331066","Skin and separable fat","","Y","5.5","1",""
"57503","331067","Skin and separable fat","","Y","9.9","1",""
"57504","331067","Total gram weight","","N","129","1",""
"57505","331067","Edible portion","","N","75.5","1",""
"57506","331067","Bone and cartilage","","Y","42.8","1",""
"57507","331067","Separable Lean","","N","75.5","1",""
"57508","331067","Handling loss","","N","0.9","1",""
"57509","331068","Total gram weight","","N","112","1",""
"57510","331068","Edible portion","","N","62.4","1",""
"57511","331068","Bone and cartilage","","Y","39.3","1",""
"57512","331068","Separable Lean","","N","62.4","1",""
"57513","331068","Handling loss","","N","0.8","1",""
"57514","331068","Skin and separable fat","","Y","9","1",""
"57515","331069","Total gram weight","","N","77","1",""
"57516","331069","Edible portion","","N","43.6","1",""
"57517","331069","Bone and cartilage","","Y","27.3","1",""
"57518","331069","Separable Lean","","N","43.6","1",""
"57519","331069","Handling loss","","N","1.5","1",""
"57520","331069","Skin and separable fat","","Y","4.6","1",""
"57521","331070","Total gram weight","","N","96.6","1",""
"57522","331070","Edible portion","","N","52.2","1",""
"57523","331070","Bone and cartilage","","Y","34.4","1",""
"57524","331070","Separable Lean","","N","52.2","1",""
"57525","331070","Handling loss","","N","1.6","1",""
"57526","331070","Skin and separable fat","","Y","8.4","1",""
"57527","331071","Skin and separable fat","","Y","6.7","1",""
"57528","331071","Total gram weight","","N","99.2","1",""
"57529","331071","Edible portion","","N","54.8","1",""
"57530","331071","Bone and cartilage","","Y","35.8","1",""
"57531","331071","Separable Lean","","N","54.8","1",""
"57532","331071","Handling loss","","N","1.9","1",""
"57533","331072","Total gram weight","","N","116","1",""
"57534","331072","Bone and cartilage","","Y","44","1",""
"57535","331072","Separable Lean","","N","63.8","1",""
"57536","331072","Handling loss","","N","2.5","1",""
"57537","331072","Edible portion","","N","63.8","1",""
"57538","331072","Skin and separable fat","","Y","5.4","1",""
"57539","331073","Total gram weight","","N","106","1",""
"57540","331073","Edible portion","","N","69.7","1",""
"57541","331073","Bone and cartilage","","Y","28.8","1",""
"57542","331073","Separable Lean","","N","69.7","1",""
"57543","331073","Handling loss","","N","1.1","1",""
"57544","331073","Skin and separable fat","","Y","6.1","1",""
"57545","331074","Total gram weight","","N","102","1",""
"57546","331074","Edible portion","","N","63","1",""
"57547","331074","Bone and cartilage","","Y","28.8","1",""
"57548","331074","Separable Lean","","N","63","1",""
"57549","331074","Handling loss","","N","2.4","1",""
"57550","331074","Skin and separable fat","","Y","7.6","1",""
"57551","331075","Total gram weight","","N","103","1",""
"57552","331075","Edible portion","","N","56.6","1",""
"57553","331075","Bone and cartilage","","Y","37.4","1",""
"57554","331075","Separable Lean","","N","56.6","1",""
"57555","331075","Handling loss","","N","1.6","1",""
"57556","331075","Skin and separable fat","","Y","7.2","1",""
"57557","331076","Skin and separable fat","","Y","7.7","1",""
"57558","331076","Total gram weight","","N","113","1",""
"57559","331076","Edible portion","","N","67.1","1",""
"57560","331076","Bone and cartilage","","Y","36.7","1",""
"57561","331076","Separable Lean","","N","67.1","1",""
"57562","331076","Handling loss","","N","1.3","1",""
"57563","331077","Skin and separable fat","","Y","10.2","1",""
"57564","331077","Total gram weight","","N","122","1",""
"57565","331077","Edible portion","","N","69.9","1",""
"57566","331077","Bone and cartilage","","Y","38.3","1",""
"57567","331077","Separable Lean","","N","69.9","1",""
"57568","331077","Handling loss","","N","3.8","1",""
"57569","331078","Skin and separable fat","","Y","5.7","1",""
"57570","331078","Total gram weight","","N","70.1","1",""
"57571","331078","Edible portion","","N","41.1","1",""
"57572","331078","Bone and cartilage","","Y","21.8","1",""
"57573","331078","Separable Lean","","N","41.1","1",""
"57574","331078","Handling loss","","N","1.5","1",""
"57575","331079","Skin and separable fat","","Y","10.5","1",""
"57576","331079","Total gram weight","","N","116","1",""
"57577","331079","Edible portion","","N","64.3","1",""
"57578","331079","Bone and cartilage","","Y","40.3","1",""
